N_OF;Date;Annee;Mois;Semaine;Ligne;Four;Site;Departement;Reference_Article;Famille_Article;Decore;Marque_Decor;Qte_Planifiee;Qte_Realisee;Ecart_Unites;Ecart_Pct;Code_Cause;Libelle_Cause;Statut
OF-2026-401;2026-07-01;2026;2026-07;27;L21;U3;Tit Mellil;Verre creux;BORDELAISE 18.7 VV STD;Verre creux (bouteilles / pots);OUI;;15000;15145;145;0.97;;;OK
OF-2026-402;2026-07-01;2026;2026-07;27;L22;U3;Tit Mellil;Verre creux;POT GRAVE AICHA 21 EPAL;Verre creux (bouteilles / pots);NON;;8000;7064;-936;-11.7;FOUR;Arret four non planifie;A traiter
OF-2026-403;2026-07-01;2026;2026-07;27;L31;U4;Tit Mellil;Verre creux;POT CAFE 200 CARRE;Verre creux (bouteilles / pots);OUI;;6000;6046;46;0.76;;;OK
OF-2026-404;2026-07-01;2026;2026-07;27;L33;U4;Tit Mellil;Verre creux;POT PATE A TARTINER 37CL;Verre creux (bouteilles / pots);NON;;10000;10063;63;0.63;;;OK
OF-2026-405;2026-07-02;2026;2026-07;27;L01;U1;Roches Noires;Gobeleterie;EXPRESS CARTE NOIRE;Gobeleterie (verres);NON;;12000;11615;-385;-3.21;AUTRE;Cause diverse;OK
OF-2026-406;2026-07-02;2026;2026-07;27;L03;U1;Roches Noires;Gobeleterie;6V/C5 LESIEUR CRISTAL;Gobeleterie (verres);OUI;Lesieur Cristal;18000;17651;-349;-1.94;;;OK
OF-2026-407;2026-07-02;2026;2026-07;27;L03;U1;Roches Noires;Gobeleterie;12V/THE C16 TAJ NOIR;Gobeleterie (verres);NON;;15000;14784;-216;-1.44;;;OK
OF-2026-408;2026-07-02;2026;2026-07;27;L01;U1;Roches Noires;Gobeleterie;6V/CONIQUE 5 BUTAGAZ;Gobeleterie (verres);NON;;18000;16084;-1916;-10.64;FOUR;Arret four non planifie;A traiter
OF-2026-409;2026-07-02;2026;2026-07;27;L32;U4;Tit Mellil;Verre creux;BORDELAISE ANNA VB 75 CL;Verre creux (bouteilles / pots);OUI;;15000;14952;-48;-0.32;;;OK
OF-2026-410;2026-07-03;2026;2026-07;27;L11;U2;Tit Mellil;Verre creux;BOUTEILLE BG 30 VB VM;Verre creux (bouteilles / pots);NON;;8000;7406;-594;-7.42;APPRO;Retard livraison matiere premiere;A traiter
OF-2026-411;2026-07-03;2026;2026-07;27;L21;U3;Tit Mellil;Verre creux;BOUTEILLE CIGOGNE 25 CL VB;Verre creux (bouteilles / pots);NON;;10000;8951;-1049;-10.49;FOUR;Arret four non planifie;A traiter
