id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1,2024-01-01,L11,Four 1,Changement du porte pincette,pincette,Section n°5,15.0,import_2024,section n°5,pincette,Section n°5,pincette
2,2024-01-02,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,20.0,import_2024,section n°7,rippeur,Section n°7,rippeur
3,2024-01-02,L11,Four 1,changement de rippeur,rippeur,Section n°8,25.0,import_2024,section n°8,rippeur,Section n°8,rippeur
4,2024-01-03,L11,Four 1,Toute seule,Machine,Machine,10.0,import_2024,machine,machine,Machine,Machine
5,2024-01-03,L11,Four 1,Réglage,Transfert,ATC,10.0,import_2024,atc,transfert,ATC,Transfert
6,2024-01-04,L11,Four 1,Probléme de ventillation,ventillation,Section n°1,30.0,import_2024,section n°1,ventillation,Section n°1,ventillation
7,2024-01-04,L11,Four 1,Probléme de palier,palier,Section n°6,20.0,import_2024,section n°6,palier,Section n°6,palier
8,2024-01-04,L11,Four 1,Probléme de palier,palier,Section n°6,20.0,import_2024,section n°6,palier,Section n°6,palier
9,2024-01-05,L11,Four 1,Changement ciseau,Mécanisme ciseaux,Machine,20.0,import_2024,machine,mécanisme ciseaux,Machine,Mécanisme ciseaux
10,2024-01-06,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,10.0,import_2024,section n°7,rippeur,Section n°7,rippeur
11,2024-01-06,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°8,20.0,import_2024,section n°8,rippeur,Section n°8,rippeur
12,2024-01-06,L11,Four 1,Changement bras de transfert,bras transfert,Section n°7,20.0,import_2024,section n°7,bras transfert,Section n°7,bras transfert
13,2024-01-06,L11,Four 1,coincement mise a l'arche,Mise a l'arche,Mise a l'arche,5.0,import_2024,mise a l'arche,mise a l'arche,Mise a l'arche,Mise a l'arche
14,2024-01-07,L11,Four 1,Mauvaise fermeture de finisseur,Fermeture de moule,Section n°4,60.0,import_2024,section n°4,fermeture de moule,Section n°4,Fermeture de moule
15,2024-01-07,L11,Four 1,Probléme au niveau de ripeur,rippeur,Section n°8,20.0,import_2024,section n°8,rippeur,Section n°8,rippeur
16,2024-01-08,L11,Four 1,Changement de refroidissement ébaucheur,refroidissement,Section n°3,60.0,import_2024,section n°3,refroidissement,Section n°3,refroidissement
17,2024-01-08,L11,Four 1,Pour faciliter l'intervention au niveau de la S3,faciliter le travail,Section n°4,60.0,import_2024,section n°4,faciliter le travail,Section n°4,faciliter le travail
18,2024-01-08,L11,Four 1,Changement de mécanisme bras transfert et bras transfert,bras transfert,Section n°6,240.0,import_2024,section n°6,bras transfert,Section n°6,bras transfert
19,2024-01-08,L11,Four 1,Pour faciliter l'intervention au niveau de la S6,faciliter le travail,Section n°5,30.0,import_2024,section n°5,faciliter le travail,Section n°5,faciliter le travail
20,2024-01-08,L11,Four 1,Pour faciliter l'intervention au niveau de la S6,faciliter le travail,Section n°7,30.0,import_2024,section n°7,faciliter le travail,Section n°7,faciliter le travail
21,2024-01-09,L11,Four 1,Changement porte pincette,faciliter le travail,Section n°5,15.0,import_2024,section n°5,faciliter le travail,Section n°5,faciliter le travail
22,2024-01-10,L11,Four 1,Arret mise a l'arche,Mise a l'arche,Mise a l'arche,5.0,import_2024,mise a l'arche,mise a l'arche,Mise a l'arche,Mise a l'arche
23,2024-01-11,L11,Four 1,Probléme éléctrique,AEE,Section n°3,305.0,import_2024,section n°3,aee,Section n°3,AEE
24,2024-01-11,L11,Four 1,Changement de rippeur,rippeur,Section n°8,20.0,import_2024,section n°8,rippeur,Section n°8,rippeur
25,2024-01-13,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,40.0,import_2024,section n°7,rippeur,Section n°7,rippeur
26,2024-01-13,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°3,60.0,import_2024,section n°3,rippeur,Section n°3,rippeur
27,2024-01-13,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°3,60.0,import_2024,section n°3,rippeur,Section n°3,rippeur
28,2024-01-14,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,30.0,import_2024,section n°7,rippeur,Section n°7,rippeur
29,2024-01-14,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,30.0,import_2024,section n°7,rippeur,Section n°7,rippeur
30,2024-01-14,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,35.0,import_2024,section n°7,rippeur,Section n°7,rippeur
31,2024-01-14,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°7,15.0,import_2024,section n°7,rippeur,Section n°7,rippeur
32,2024-01-15,L11,Four 1,Réparation de flexible de ventillation,ventillation,Section n°1,150.0,import_2024,section n°1,ventillation,Section n°1,ventillation
33,2024-01-16,L11,Four 1,Changement de bobine et distributeur de rippeur,rippeur,Section n°7,120.0,import_2024,section n°7,rippeur,Section n°7,rippeur
34,2024-01-17,L11,Four 1,Coincement ATC,Transfert,ATC,5.0,import_2024,atc,transfert,ATC,Transfert
35,2024-01-18,L11,Four 1,Changement de rippeur,rippeur,Section n°1,15.0,import_2024,section n°1,rippeur,Section n°1,rippeur
36,2024-01-18,L11,Four 1,Mauvaise fonctionnement de rippeur,rippeur,Section n°3,20.0,import_2024,section n°3,rippeur,Section n°3,rippeur
