date,ligne,four,minutes_arret
2025-01-01,L11,Four 1,12.0
2025-01-01,L12,Four 1,15.0
2025-01-01,L13,Four 1,2.0
2025-01-02,L11,Four 1,13.0
2025-01-02,L12,Four 1,6.0
2025-01-02,L13,Four 1,3.0
2025-01-03,L11,Four 1,8.0
2025-01-03,L12,Four 1,93.0
2025-01-03,L13,Four 1,7.0
2025-01-04,L11,Four 1,33.0
2025-01-04,L12,Four 1,13.0
2025-01-04,L13,Four 1,13.0
2025-01-05,L11,Four 1,8.0
2025-01-05,L12,Four 1,0.0
2025-01-05,L13,Four 1,18.0
2025-01-06,L11,Four 1,26.0
2025-01-06,L12,Four 1,13.0
2025-01-06,L13,Four 1,17.0
2025-01-07,L11,Four 1,24.0
2025-01-07,L12,Four 1,10.0
2025-01-07,L13,Four 1,13.0
2025-01-08,L11,Four 1,32.0
2025-01-08,L12,Four 1,13.0
2025-01-08,L13,Four 1,14.0
2025-01-09,L11,Four 1,14.0
2025-01-09,L12,Four 1,0.0
2025-01-09,L13,Four 1,14.0
2025-01-09,L21,Four 2,36.0
2025-01-09,L22,Four 2,10.0
2025-01-09,L23,Four 2,0.0
2025-01-10,L11,Four 1,12.0
2025-01-10,L12,Four 1,3.0
2025-01-10,L13,Four 1,45.0
2025-01-10,L21,Four 2,22.0
2025-01-10,L22,Four 2,25.0
2025-01-10,L23,Four 2,8.0
2025-01-11,L11,Four 1,9.0
2025-01-11,L12,Four 1,45.0
2025-01-11,L13,Four 1,35.0
2025-01-11,L21,Four 2,114.0
2025-01-11,L22,Four 2,294.0
2025-01-11,L23,Four 2,0.0
2025-01-12,L11,Four 1,4.0
2025-01-12,L12,Four 1,30.0
2025-01-12,L13,Four 1,35.0
2025-01-12,L21,Four 2,12.0
2025-01-12,L22,Four 2,13.0
2025-01-12,L23,Four 2,0.0
2025-01-13,L11,Four 1,9.0
2025-01-13,L12,Four 1,8.0
2025-01-13,L13,Four 1,0.0
2025-01-13,L21,Four 2,60.0
2025-01-13,L22,Four 2,36.0
2025-01-13,L23,Four 2,3.0
2025-01-14,L11,Four 1,11.0
2025-01-14,L12,Four 1,28.0
2025-01-14,L13,Four 1,4.0
2025-01-14,L21,Four 2,19.0
2025-01-14,L22,Four 2,3.0
2025-01-14,L23,Four 2,17.0
2025-01-15,L11,Four 1,16.0
2025-01-15,L12,Four 1,8.0
2025-01-15,L13,Four 1,21.0
2025-01-15,L21,Four 2,10.0
2025-01-15,L22,Four 2,39.0
2025-01-15,L23,Four 2,43.0
2025-01-16,L11,Four 1,10.0
2025-01-16,L12,Four 1,2.0
2025-01-16,L13,Four 1,12.0
2025-01-16,L21,Four 2,10.0
2025-01-16,L22,Four 2,30.0
2025-01-16,L23,Four 2,23.0
2025-01-17,L11,Four 1,23.0
2025-01-17,L12,Four 1,121.0
2025-01-17,L13,Four 1,30.0
2025-01-17,L21,Four 2,0.0
2025-01-17,L22,Four 2,7.0
2025-01-17,L23,Four 2,0.0
2025-01-18,L11,Four 1,38.0
2025-01-18,L12,Four 1,5.0
2025-01-18,L13,Four 1,32.0
2025-01-18,L21,Four 2,0.0
2025-01-18,L22,Four 2,0.0
2025-01-18,L23,Four 2,4.0
2025-01-19,L11,Four 1,8.0
2025-01-19,L12,Four 1,0.0
2025-01-19,L13,Four 1,9.0
2025-01-19,L21,Four 2,8.0
2025-01-19,L22,Four 2,0.0
2025-01-19,L23,Four 2,0.0
2025-01-20,L11,Four 1,51.0
2025-01-20,L12,Four 1,2.0
2025-01-20,L13,Four 1,20.0
2025-01-20,L21,Four 2,32.0
2025-01-20,L22,Four 2,0.0
2025-01-20,L23,Four 2,4.0
2025-01-21,L11,Four 1,60.0
2025-01-21,L12,Four 1,453.0
2025-01-21,L13,Four 1,4.0
2025-01-21,L21,Four 2,0.0
2025-01-21,L22,Four 2,0.0
2025-01-21,L23,Four 2,3.0
2025-01-22,L11,Four 1,16.0
2025-01-22,L12,Four 1,790.0
2025-01-22,L13,Four 1,14.0
2025-01-22,L21,Four 2,15.0
2025-01-22,L22,Four 2,10.0
2025-01-22,L23,Four 2,2.0
2025-01-23,L11,Four 1,9.0
2025-01-23,L12,Four 1,3.0
2025-01-23,L13,Four 1,14.0
2025-01-23,L21,Four 2,13.0
2025-01-23,L22,Four 2,53.0
2025-01-23,L23,Four 2,4.0
2025-01-24,L11,Four 1,63.0
2025-01-24,L12,Four 1,240.0
2025-01-24,L13,Four 1,37.0
2025-01-24,L21,Four 2,50.0
2025-01-24,L22,Four 2,183.0
2025-01-24,L23,Four 2,38.0
2025-01-25,L11,Four 1,8.0
2025-01-25,L12,Four 1,8.0
2025-01-25,L13,Four 1,5.0
2025-01-25,L21,Four 2,13.0
2025-01-25,L22,Four 2,26.0
2025-01-25,L23,Four 2,19.0
2025-01-26,L11,Four 1,8.0
2025-01-26,L12,Four 1,23.0
2025-01-26,L13,Four 1,4.0
2025-01-26,L21,Four 2,23.0
2025-01-26,L22,Four 2,45.0
2025-01-26,L23,Four 2,14.0
2025-01-27,L11,Four 1,15.0
2025-01-27,L12,Four 1,38.0
2025-01-27,L13,Four 1,0.0
2025-01-27,L21,Four 2,4.0
2025-01-27,L22,Four 2,3.0
2025-01-27,L23,Four 2,0.0
2025-01-28,L11,Four 1,4.0
2025-01-28,L12,Four 1,18.0
2025-01-28,L13,Four 1,11.0
2025-01-28,L21,Four 2,13.0
2025-01-28,L22,Four 2,0.0
2025-01-28,L23,Four 2,14.0
2025-01-29,L11,Four 1,34.0
2025-01-29,L12,Four 1,74.0
2025-01-29,L13,Four 1,6.0
2025-01-29,L21,Four 2,18.0
2025-01-29,L22,Four 2,170.0
2025-01-29,L23,Four 2,33.0
2025-01-30,L11,Four 1,6.0
2025-01-30,L12,Four 1,9.0
2025-01-30,L13,Four 1,7.0
2025-01-30,L21,Four 2,0.0
2025-01-30,L22,Four 2,17.0
2025-01-30,L23,Four 2,0.0
2025-01-31,L11,Four 1,14.0
2025-01-31,L12,Four 1,7.0
2025-01-31,L13,Four 1,262.0
2025-01-31,L21,Four 2,0.0
2025-01-31,L22,Four 2,453.0
2025-01-31,L23,Four 2,6.0
2025-02-01,L11,Four 1,33.0
2025-02-01,L12,Four 1,1.0
2025-02-01,L13,Four 1,12.0
2025-02-01,L21,Four 2,28.0
2025-02-01,L22,Four 2,16.0
2025-02-01,L23,Four 2,0.0
2025-02-02,L11,Four 1,0.0
2025-02-02,L12,Four 1,0.0
2025-02-02,L13,Four 1,3.0
2025-02-02,L21,Four 2,10.0
2025-02-02,L22,Four 2,5.0
2025-02-02,L23,Four 2,0.0
2025-02-03,L11,Four 1,19.0
2025-02-03,L12,Four 1,0.0
2025-02-03,L13,Four 1,8.0
2025-02-03,L21,Four 2,14.0
2025-02-03,L22,Four 2,0.0
2025-02-03,L23,Four 2,6.0
2025-02-04,L11,Four 1,11.0
2025-02-04,L12,Four 1,3.0
2025-02-04,L13,Four 1,8.0
2025-02-04,L21,Four 2,38.0
2025-02-04,L22,Four 2,0.0
2025-02-04,L23,Four 2,0.0
2025-02-05,L11,Four 1,0.0
2025-02-05,L12,Four 1,0.0
2025-02-05,L13,Four 1,11.0
2025-02-05,L21,Four 2,13.0
2025-02-05,L22,Four 2,0.0
2025-02-05,L23,Four 2,6.0
2025-02-06,L11,Four 1,0.0
2025-02-06,L12,Four 1,4.0
2025-02-06,L13,Four 1,59.0
2025-02-06,L21,Four 2,0.0
2025-02-06,L22,Four 2,0.0
2025-02-06,L23,Four 2,7.0
2025-02-07,L11,Four 1,6.0
2025-02-07,L12,Four 1,11.0
2025-02-07,L13,Four 1,5.0
2025-02-07,L21,Four 2,0.0
2025-02-07,L22,Four 2,0.0
2025-02-07,L23,Four 2,21.0
2025-02-08,L11,Four 1,0.0
2025-02-08,L12,Four 1,4.0
2025-02-08,L13,Four 1,29.0
2025-02-08,L21,Four 2,17.0
2025-02-08,L22,Four 2,35.0
2025-02-08,L23,Four 2,34.0
2025-02-09,L11,Four 1,6.0
2025-02-09,L12,Four 1,0.0
2025-02-09,L13,Four 1,188.5
2025-02-09,L21,Four 2,36.0
2025-02-09,L22,Four 2,35.0
2025-02-09,L23,Four 2,4.0
2025-02-10,L11,Four 1,0.0
2025-02-10,L12,Four 1,30.0
2025-02-10,L13,Four 1,3.0
2025-02-10,L21,Four 2,3.0
2025-02-10,L22,Four 2,166.0
2025-02-10,L23,Four 2,0.0
2025-02-11,L11,Four 1,14.0
2025-02-11,L12,Four 1,19.0
2025-02-11,L13,Four 1,23.0
2025-02-11,L21,Four 2,3.0
2025-02-11,L22,Four 2,0.0
2025-02-11,L23,Four 2,8.0
2025-02-12,L11,Four 1,4.0
2025-02-12,L12,Four 1,6.0
2025-02-12,L13,Four 1,5.0
2025-02-12,L21,Four 2,10.0
2025-02-12,L22,Four 2,0.0
2025-02-12,L23,Four 2,0.0
2025-02-13,L11,Four 1,15.0
2025-02-13,L12,Four 1,0.0
2025-02-13,L13,Four 1,7.0
2025-02-13,L21,Four 2,0.0
2025-02-13,L22,Four 2,0.0
2025-02-13,L23,Four 2,0.0
2025-02-14,L11,Four 1,19.0
2025-02-14,L12,Four 1,4.0
2025-02-14,L13,Four 1,256.0
2025-02-14,L21,Four 2,0.0
2025-02-14,L22,Four 2,0.0
2025-02-14,L23,Four 2,0.0
2025-02-15,L11,Four 1,17.0
2025-02-15,L12,Four 1,0.0
2025-02-15,L13,Four 1,11.0
2025-02-15,L21,Four 2,0.0
2025-02-15,L22,Four 2,0.0
2025-02-15,L23,Four 2,0.0
2025-02-16,L11,Four 1,9.0
2025-02-16,L12,Four 1,13.0
2025-02-16,L13,Four 1,4.0
2025-02-16,L21,Four 2,0.0
2025-02-16,L22,Four 2,5.0
2025-02-16,L23,Four 2,0.0
2025-02-17,L11,Four 1,6.0
2025-02-17,L12,Four 1,0.0
2025-02-17,L13,Four 1,4.0
2025-02-17,L21,Four 2,5.0
2025-02-17,L22,Four 2,2.0
2025-02-17,L23,Four 2,4.0
2025-02-18,L11,Four 1,7.0
2025-02-18,L12,Four 1,6.0
2025-02-18,L13,Four 1,23.0
2025-02-18,L21,Four 2,0.0
2025-02-18,L22,Four 2,5.0
2025-02-18,L23,Four 2,13.0
2025-02-19,L11,Four 1,22.0
2025-02-19,L12,Four 1,2.0
2025-02-19,L13,Four 1,13.0
2025-02-19,L21,Four 2,0.0
2025-02-19,L22,Four 2,4.0
2025-02-19,L23,Four 2,10.0
2025-02-20,L11,Four 1,3.0
2025-02-20,L12,Four 1,8.0
2025-02-20,L13,Four 1,54.0
2025-02-20,L21,Four 2,0.0
2025-02-20,L22,Four 2,0.0
2025-02-20,L23,Four 2,4.0
2025-02-21,L11,Four 1,665.0
2025-02-21,L12,Four 1,18.0
2025-02-21,L13,Four 1,58.0
